coffee_id,name,roaster,farmer,process,elevation,country_name,country_region,notes,varietals
101,Geisha,3 Monkeys,,,0,Peru,Americas,,
102,,3 Monkeys,,,0,Peru,Americas,,
103,Reserve Al Wudiyan,Al Mokha,,Natural,0,Yemen,Asia,,
104,Whole Foods,Allegro,,,0,Blend,Blend,"sweet,smoky",
105,Belen Gualcho,Alma Coffee,,Washed,1700,Honduras,Americas,"green apple,apple,balance,milk,grapefruit",Caturra
106,Gotiti,Anchorhead,Mormora Farm,,2000,Ethiopia,Africa,"jasmine tea,lychee","Wolicho,Heirlooms,Kurume"
107,Kiangoi,Anchorhead,,Washed,0,Kenya,Africa,"raspberry,nutmeg,honeydew,peach",SL28 Cultivar
108,Leviathan,Anchorhead,,Natural,1900,Blend,Blend,"blackberry syrup,caramel,marshmallow,blueberry",
109,Narwhal,Anchorhead,,Washed,1600,Blend,Blend,"cherry,nougat,milk chocolate","Bourbon,Typica,Caturra"
110,Rwanda Dukunde Kawa,Anchorhead,Dukunde Kawa Cooperative,Washed,1750,Rwanda,Africa,"nutmeg,brown sugar,fig",Bourbon
111,Ethiopia Uraga Guji,Anchorhead,Feku Jiberil,Washed,0,Ethiopia,Africa,"chocolate syrup,tangerine",
112,Colombia La Pradera,Anodyne Coffee Roasters,Hector & Oscar Daza,Washed,1700,Colombia,Americas,"cherry,super,cola,soft","Castillo,Caturra,Colombia"
113,Precursor,Armistice,,Washed,0,Blend,Blend,,
114,Dominican Republic of Congo,Atlas Coffee Importers,,Washed,0,Congo,Africa,,
115,Ethiopa,Atlas Coffee Importers,Shara Washing Station,Washed,0,Ethiopia,Africa,"blackberry,green tea,plum,pear,jasmine",Typica
116,Fazenda Cachoeira,Atlas Coffee Importers,,Natural,0,Brazil,Americas,,
117,Fazenda Samambaia,Atlas Coffee Importers,,Natural,0,Brazil,Americas,,
118,Fazenda Samambaia,Atlas Coffee Importers,,Pulp Natural,0,Brazil,Americas,,
119,Bali Kintamani,Atomic,,Natural,1300,Indonesia,Asia,"strawberry liquer,cantaloupe,complex","Typica,Bourbon"
120,Decaf Brazil,Atomic,,EA Decaf,1000,Brazil,Americas,"bittersweet chocolate,honey,caramel","Novo Hybrid,Bourbon,Mundo Novo"
121,Burundi Mutambu,Backporch Coffee Roasters,,Washed,6000,Burundi,Africa,"hibiscus,star fruit,black tea",Red Bourbon
122,Chateau Belleville Blend,Belleville,,Natural,0,Blend,Blend,,Bourbon
123,Ciudad Vieja,Belleville,,Washed,0,Guatemala,Americas,"roasted hazelnuts,cocoa,spice",Bourbon
124,La Fontaine Blend,Belleville,,Washed,0,Blend,Blend,"caramel,chocolate",
125,Matahara,Belleville,,Washed,0,Ethiopia,Africa,floral,
126,Neptaly Bautista,Belleville,,Washed,0,Honduras,Americas,"granny apple,candied fruit,honey,exotic fruits,cane molasses",Pacas
